key,name,category,w_mm,h_mm,w_px,h_px
cn_1inch,一寸,中国标准,25,35,295,413
cn_2inch,二寸,中国标准,35,49,413,579
cn_1inch_s,小一寸,中国标准,22,32,260,378
cn_2inch_s,小二寸,中国标准,35,45,413,531
cn_1inch_l,大一寸,中国标准,33,48,390,567
cn_2inch_l,大二寸,中国标准,35,53,413,626
cn_id,身份证(洗照),中国标准,26,32,307,378
cn_dl,驾驶证,中国标准,22,32,260,378
cn_passport,中国护照,中国标准,33,48,390,567
cn_hk_mo,港澳通行证,中国标准,33,48,390,567
cn_tw,台湾通行证,中国标准,33,48,390,567
cn_visa,签证(通用),中国标准,33,48,390,567
cn_marry,结婚证,中国标准,35,49,413,579
cn_resume,简历求职,中国标准,25,35,295,413
us_passport,美国护照/签证,美国,51,51,602,602
us_green,美国绿卡,美国,51,51,602,602
us_dl,美国驾照(通用),美国,25,30,295,354
eu_schengen,申根签证,欧盟/申根,35,45,413,531
eu_passport,欧盟护照,欧盟/申根,35,45,413,531
uk_passport,英国护照/签证,欧盟/申根,35,45,413,531
ru_visa,俄罗斯签证,欧盟/申根,35,45,413,531
jp_visa,日本签证/护照,日韩,35,45,413,531
kr_visa,韩国签证/护照,日韩,35,45,413,531
ca_visa,加拿大签证,加澳新,35,45,413,531
ca_passport,加拿大护照,加澳新,50,70,591,827
au_visa,澳洲签证/护照,加澳新,35,45,413,531
nz_visa,新西兰签证,加澳新,35,45,413,531
my_visa,马来西亚,东南亚,35,50,413,591
sg_visa,新加坡,东南亚,35,45,413,531
th_visa,泰国,东南亚,35,45,413,531
vn_visa,越南,东南亚,35,45,413,531
id_visa,印尼,东南亚,35,45,413,531
ph_visa,菲律宾,东南亚,35,45,413,531
in_passport,印度护照,东南亚,35,45,413,531
br_visa,巴西,其他,35,45,413,531
za_visa,南非,其他,35,45,413,531
tr_visa,土耳其,其他,35,45,413,531
